<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
GTL ао;D;190216;00:00;0.3001;7209000
GTL ао;D;200216;00:00;0.3059;19795000
GTL ао;D;220216;00:00;0.3081;11375000
GTL ао;D;240216;00:00;0.36;124327000
GTL ао;D;250216;00:00;0.3662;82210000
GTL ао;D;260216;00:00;0.3498;24312000
GTL ао;D;290216;00:00;0.4;83206000
GTL ао;D;010316;00:00;0.4093;44039000
GTL ао;D;020316;00:00;0.5499;147478000
GTL ао;D;030316;00:00;0.6408;239232000
GTL ао;D;040316;00:00;0.63;73562000
GTL ао;D;070316;00:00;0.8806;158117000
GTL ао;D;090316;00:00;1.2318;183300000
GTL ао;D;100316;00:00;1.7234;139728000
GTL ао;D;110316;00:00;2.4099;90289000
GTL ао;D;140316;00:00;2.148;383382000
GTL ао;D;150316;00:00;1.8;137721000
GTL ао;D;160316;00:00;1.0798;264442000
GTL ао;D;170316;00:00;0.6475;312437000
GTL ао;D;180316;00:00;0.9053;289590000
GTL ао;D;210316;00:00;1.2658;141453000
GTL ао;D;220316;00:00;1.4015;379125000
GTL ао;D;230316;00:00;1.2996;119000000
GTL ао;D;240316;00:00;1.1801;47330000
GTL ао;D;250316;00:00;1.247;158422000
GTL ао;D;280316;00:00;1.132;57652000
GTL ао;D;290316;00:00;0.745;244494000
GTL ао;D;300316;00:00;0.8849;238747000
GTL ао;D;310316;00:00;0.8892;111587000
GTL ао;D;010416;00:00;0.8764;55822000
GTL ао;D;040416;00:00;0.8389;26657000
GTL ао;D;050416;00:00;0.7406;69574000
GTL ао;D;060416;00:00;0.7694;36895000
GTL ао;D;070416;00:00;0.8999;98498000
GTL ао;D;080416;00:00;0.88;84651000
GTL ао;D;110416;00:00;0.8048;43896000
GTL ао;D;120416;00:00;0.7441;32660000
GTL ао;D;130416;00:00;0.7535;19740000
GTL ао;D;140416;00:00;0.7392;11136000
GTL ао;D;150416;00:00;0.7379;22174000
GTL ао;D;180416;00:00;0.7122;13200000
GTL ао;D;190416;00:00;0.72;39010000
GTL ао;D;200416;00:00;0.7199;20747000
GTL ао;D;210416;00:00;0.715;11765000
GTL ао;D;220416;00:00;0.7035;13857000
GTL ао;D;250416;00:00;0.7029;12927000
GTL ао;D;260416;00:00;0.6997;9257000
GTL ао;D;270416;00:00;0.6813;14523000
GTL ао;D;280416;00:00;0.659;32494000
GTL ао;D;290416;00:00;0.6621;43232000
GTL ао;D;040516;00:00;0.623;20831000
GTL ао;D;050516;00:00;0.649;31873000
GTL ао;D;060516;00:00;0.634;36800000
GTL ао;D;100516;00:00;0.599;28797000
GTL ао;D;110516;00:00;0.557;48068000
GTL ао;D;120516;00:00;0.533;22852000
GTL ао;D;130516;00:00;0.532;68715000
GTL ао;D;160516;00:00;0.532;16612000
GTL ао;D;170516;00:00;0.522;24413000
GTL ао;D;180516;00:00;0.518;6920000
GTL ао;D;190516;00:00;0.519;7768000
GTL ао;D;200516;00:00;0.524;9952000
GTL ао;D;230516;00:00;0.524;6594000
