<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
GTL ао;D;19/02/18;00:00;0.2075;34449000
GTL ао;D;20/02/18;00:00;0.2;16119000
GTL ао;D;21/02/18;00:00;0.2;24678000
GTL ао;D;22/02/18;00:00;0.2115;132867000
GTL ао;D;26/02/18;00:00;0.2345;51763000
GTL ао;D;27/02/18;00:00;0.23;33927000
GTL ао;D;28/02/18;00:00;0.227;81968000
GTL ао;D;01/03/18;00:00;0.225;86993000
GTL ао;D;02/03/18;00:00;0.225;19760000
GTL ао;D;05/03/18;00:00;0.2215;42414000
GTL ао;D;06/03/18;00:00;0.218;25590000
GTL ао;D;07/03/18;00:00;0.21;18335000
GTL ао;D;09/03/18;00:00;0.2125;7568000
GTL ао;D;12/03/18;00:00;0.204;19503000
GTL ао;D;13/03/18;00:00;0.2055;22697000
GTL ао;D;14/03/18;00:00;0.196;36203000
GTL ао;D;15/03/18;00:00;0.1895;21310000
GTL ао;D;16/03/18;00:00;0.186;8856000
GTL ао;D;19/03/18;00:00;0.181;17306000
GTL ао;D;20/03/18;00:00;0.182;19483000
GTL ао;D;21/03/18;00:00;0.1805;8634000
GTL ао;D;22/03/18;00:00;0.176;9203000
GTL ао;D;23/03/18;00:00;0.1755;6743000
GTL ао;D;26/03/18;00:00;0.1585;25257000
GTL ао;D;27/03/18;00:00;0.1615;26369000
GTL ао;D;28/03/18;00:00;0.1585;21170000
GTL ао;D;29/03/18;00:00;0.161;13923000
GTL ао;D;30/03/18;00:00;0.159;13506000
GTL ао;D;02/04/18;00:00;0.1535;16735000
GTL ао;D;03/04/18;00:00;0.1475;26735000
GTL ао;D;04/04/18;00:00;0.1465;46214000
GTL ао;D;05/04/18;00:00;0.1475;19577000
GTL ао;D;06/04/18;00:00;0.1475;9332000
GTL ао;D;09/04/18;00:00;0.122;73155000
GTL ао;D;10/04/18;00:00;0.129;52735000
GTL ао;D;11/04/18;00:00;0.123;15786000
GTL ао;D;12/04/18;00:00;0.1425;42465000
GTL ао;D;13/04/18;00:00;0.1615;75672000
GTL ао;D;16/04/18;00:00;0.1705;89762000
GTL ао;D;17/04/18;00:00;0.1715;27612000
GTL ао;D;18/04/18;00:00;0.166;30148000
GTL ао;D;19/04/18;00:00;0.159;10437000
GTL ао;D;20/04/18;00:00;0.1635;10584000
GTL ао;D;23/04/18;00:00;0.163;12320000
GTL ао;D;24/04/18;00:00;0.167;20482000
GTL ао;D;25/04/18;00:00;0.1685;15711000
GTL ао;D;26/04/18;00:00;0.165;12168000
GTL ао;D;27/04/18;00:00;0.16;18784000
GTL ао;D;28/04/18;00:00;0.154;34187000
GTL ао;D;30/04/18;00:00;0.1555;2289000
GTL ао;D;02/05/18;00:00;0.1535;4082000
GTL ао;D;03/05/18;00:00;0.153;2177000
GTL ао;D;04/05/18;00:00;0.1595;17722000
GTL ао;D;07/05/18;00:00;0.1605;31074000
GTL ао;D;08/05/18;00:00;0.161;10820000
GTL ао;D;10/05/18;00:00;0.1585;5488000
GTL ао;D;11/05/18;00:00;0.16;3360000
GTL ао;D;14/05/18;00:00;0.1605;10026000
GTL ао;D;15/05/18;00:00;0.158;9382000
GTL ао;D;16/05/18;00:00;0.153;10766000
GTL ао;D;17/05/18;00:00;0.15;11310000
GTL ао;D;18/05/18;00:00;0.1455;9984000
GTL ао;D;21/05/18;00:00;0.145;17973000
GTL ао;D;22/05/18;00:00;0.144;8655000
GTL ао;D;23/05/18;00:00;0.1395;19132000
GTL ао;D;24/05/18;00:00;0.138;9943000
GTL ао;D;25/05/18;00:00;0.1325;18083000
GTL ао;D;28/05/18;00:00;0.139;50378000
GTL ао;D;29/05/18;00:00;0.134;18430000
GTL ао;D;30/05/18;00:00;0.131;11590000
GTL ао;D;31/05/18;00:00;0.1295;6972000
GTL ао;D;01/06/18;00:00;0.1295;11260000
GTL ао;D;04/06/18;00:00;0.1335;9343000
GTL ао;D;05/06/18;00:00;0.1325;18312000
GTL ао;D;06/06/18;00:00;0.133;5010000
GTL ао;D;07/06/18;00:00;0.133;3159000
GTL ао;D;08/06/18;00:00;0.127;7721000
GTL ао;D;09/06/18;00:00;0.126;4658000
GTL ао;D;11/06/18;00:00;0.125;4278000
GTL ао;D;13/06/18;00:00;0.125;6430000
GTL ао;D;14/06/18;00:00;0.1235;4328000
GTL ао;D;15/06/18;00:00;0.125;14515000
GTL ао;D;18/06/18;00:00;0.1255;4024000
GTL ао;D;19/06/18;00:00;0.126;11539000
GTL ао;D;20/06/18;00:00;0.1255;4297000
GTL ао;D;21/06/18;00:00;0.1275;8221000
GTL ао;D;22/06/18;00:00;0.1295;11077000
GTL ао;D;25/06/18;00:00;0.129;5507000
GTL ао;D;26/06/18;00:00;0.128;7331000
