<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
GTL ао;D;19/02/18;00:00;0.2045;0.21;0.196;0.2075;34449000;0
GTL ао;D;20/02/18;00:00;0.2075;0.2075;0.196;0.2;16119000;0
GTL ао;D;21/02/18;00:00;0.199;0.2025;0.192;0.2;24678000;0
GTL ао;D;22/02/18;00:00;0.2005;0.214;0.19;0.2115;132867000;0
GTL ао;D;26/02/18;00:00;0.1985;0.2435;0.1985;0.2345;51763000;0
GTL ао;D;27/02/18;00:00;0.234;0.2395;0.2235;0.23;33927000;0
GTL ао;D;28/02/18;00:00;0.2285;0.235;0.212;0.227;81968000;0
GTL ао;D;01/03/18;00:00;0.226;0.245;0.2175;0.225;86993000;0
GTL ао;D;02/03/18;00:00;0.226;0.2275;0.2155;0.225;19760000;0
GTL ао;D;05/03/18;00:00;0.223;0.2305;0.2185;0.2215;42414000;0
GTL ао;D;06/03/18;00:00;0.2215;0.2245;0.213;0.218;25590000;0
GTL ао;D;07/03/18;00:00;0.2175;0.218;0.2085;0.21;18335000;0
GTL ао;D;09/03/18;00:00;0.207;0.2125;0.207;0.2125;7568000;0
GTL ао;D;12/03/18;00:00;0.212;0.2125;0.1995;0.204;19503000;0
GTL ао;D;13/03/18;00:00;0.2035;0.206;0.2;0.2055;22697000;0
GTL ао;D;14/03/18;00:00;0.206;0.209;0.1955;0.196;36203000;0
GTL ао;D;15/03/18;00:00;0.1985;0.1985;0.185;0.1895;21310000;0
GTL ао;D;16/03/18;00:00;0.1915;0.192;0.183;0.186;8856000;0
GTL ао;D;19/03/18;00:00;0.187;0.187;0.1775;0.181;17306000;0
GTL ао;D;20/03/18;00:00;0.1805;0.185;0.1755;0.182;19483000;0
GTL ао;D;21/03/18;00:00;0.182;0.182;0.178;0.1805;8634000;0
GTL ао;D;22/03/18;00:00;0.1795;0.1805;0.1745;0.176;9203000;0
GTL ао;D;23/03/18;00:00;0.176;0.1805;0.173;0.1755;6743000;0
GTL ао;D;26/03/18;00:00;0.176;0.1765;0.155;0.1585;25257000;0
GTL ао;D;27/03/18;00:00;0.1615;0.171;0.157;0.1615;26369000;0
GTL ао;D;28/03/18;00:00;0.1525;0.1635;0.1525;0.1585;21170000;0
GTL ао;D;29/03/18;00:00;0.159;0.166;0.158;0.161;13923000;0
GTL ао;D;30/03/18;00:00;0.161;0.163;0.158;0.159;13506000;0
GTL ао;D;02/04/18;00:00;0.158;0.1595;0.1525;0.1535;16735000;0
GTL ао;D;03/04/18;00:00;0.1525;0.153;0.1465;0.1475;26735000;0
GTL ао;D;04/04/18;00:00;0.148;0.148;0.1385;0.1465;46214000;0
GTL ао;D;05/04/18;00:00;0.1465;0.152;0.1445;0.1475;19577000;0
GTL ао;D;06/04/18;00:00;0.147;0.149;0.146;0.1475;9332000;0
GTL ао;D;09/04/18;00:00;0.147;0.147;0.1115;0.122;73155000;0
GTL ао;D;10/04/18;00:00;0.17;0.17;0.115;0.129;52735000;0
GTL ао;D;11/04/18;00:00;0.127;0.1315;0.121;0.123;15786000;0
GTL ао;D;12/04/18;00:00;0.1245;0.144;0.123;0.1425;42465000;0
GTL ао;D;13/04/18;00:00;0.142;0.1755;0.138;0.1615;75672000;0
GTL ао;D;16/04/18;00:00;0.171;0.1855;0.156;0.1705;89762000;0
GTL ао;D;17/04/18;00:00;0.172;0.184;0.168;0.1715;27612000;0
GTL ао;D;18/04/18;00:00;0.1715;0.174;0.16;0.166;30148000;0
GTL ао;D;19/04/18;00:00;0.167;0.167;0.157;0.159;10437000;0
GTL ао;D;20/04/18;00:00;0.167;0.1705;0.156;0.1635;10584000;0
GTL ао;D;23/04/18;00:00;0.1635;0.174;0.1625;0.163;12320000;0
GTL ао;D;24/04/18;00:00;0.162;0.175;0.162;0.167;20482000;0
GTL ао;D;25/04/18;00:00;0.179;0.179;0.166;0.1685;15711000;0
GTL ао;D;26/04/18;00:00;0.168;0.169;0.1615;0.165;12168000;0
GTL ао;D;27/04/18;00:00;0.1645;0.167;0.1575;0.16;18784000;0
GTL ао;D;28/04/18;00:00;0.16;0.1685;0.1535;0.154;34187000;0
GTL ао;D;30/04/18;00:00;0.1555;0.157;0.154;0.1555;2289000;0
GTL ао;D;02/05/18;00:00;0.1545;0.157;0.153;0.1535;4082000;0
GTL ао;D;03/05/18;00:00;0.147;0.1545;0.147;0.153;2177000;0
GTL ао;D;04/05/18;00:00;0.159;0.1695;0.1525;0.1595;17722000;0
GTL ао;D;07/05/18;00:00;0.1535;0.1735;0.1535;0.1605;31074000;0
GTL ао;D;08/05/18;00:00;0.1575;0.167;0.1575;0.161;10820000;0
GTL ао;D;10/05/18;00:00;0.22;0.22;0.157;0.1585;5488000;0
GTL ао;D;11/05/18;00:00;0.157;0.164;0.157;0.16;3360000;0
GTL ао;D;14/05/18;00:00;0.15;0.162;0.15;0.1605;10026000;0
GTL ао;D;15/05/18;00:00;0.161;0.1635;0.1545;0.158;9382000;0
GTL ао;D;16/05/18;00:00;0.1575;0.1575;0.15;0.153;10766000;0
GTL ао;D;17/05/18;00:00;0.154;0.154;0.1485;0.15;11310000;0
GTL ао;D;18/05/18;00:00;0.1595;0.1595;0.1435;0.1455;9984000;0
GTL ао;D;21/05/18;00:00;0.147;0.15;0.14;0.145;17973000;0
GTL ао;D;22/05/18;00:00;0.147;0.1475;0.1425;0.144;8655000;0
GTL ао;D;23/05/18;00:00;0.142;0.145;0.1385;0.1395;19132000;0
GTL ао;D;24/05/18;00:00;0.1535;0.1535;0.084;0.138;9943000;0
GTL ао;D;25/05/18;00:00;0.1395;0.1395;0.132;0.1325;18083000;0
GTL ао;D;28/05/18;00:00;0.139;0.158;0.131;0.139;50378000;0
GTL ао;D;29/05/18;00:00;0.1405;0.142;0.132;0.134;18430000;0
GTL ао;D;30/05/18;00:00;0.1355;0.1365;0.129;0.131;11590000;0
GTL ао;D;31/05/18;00:00;0.1575;0.1575;0.1265;0.1295;6972000;0
GTL ао;D;01/06/18;00:00;0.1315;0.1315;0.127;0.1295;11260000;0
GTL ао;D;04/06/18;00:00;0.1315;0.135;0.128;0.1335;9343000;0
GTL ао;D;05/06/18;00:00;0.1275;0.145;0.1275;0.1325;18312000;0
GTL ао;D;06/06/18;00:00;0.1395;0.1395;0.131;0.133;5010000;0
